ward,menu_package,address,cost,cost_numeric
3,Speed Indicator Signs (2024),ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S),"$28,000.00",28000.0
3,Street Bump Outs Menu (2024),W 16TH ST & S DEARBORN ST,"$32,000.00",32000.0
3,Street Resurfacing Menu (2024),3800-3814 S DR MARTIN LUTHER KING JR DR,"$11,743.80",11743.8
3,Street Resurfacing Menu (2024),ON E 29TH ST FROM S STATE ST (0 E) TO S MICHIGAN AVE (100 E),"$82,088.75",82088.75
3,Street Resurfacing Menu (2024),ON E 44TH PL FROM S VINCENNES AVE (500 E) TO S ST LAWRENCE AVE (600 E),"$52,948.69",52948.69
3,Street Resurfacing Menu (2024),ON E 44TH ST FROM S STATE ST (1 W) TO S INDIANA AVE (200 E),"$67,116.15",67116.15
3,Street Resurfacing Menu (2024),ON S CALUMET AVE FROM E 35TH ST (3500 S) TO E 37TH ST (3700 S),"$114,792.51",114792.51
3,Street Resurfacing Menu (2024),ON S CHAMPLAIN AVE FROM E 45TH ST (4500 S) TO E 46TH ST (4600 S),"$30,623.88",30623.88
3,Street Resurfacing Menu (2024),ON S VINCENNES AVE FROM E 47TH ST (4699 S) TO E 49TH ST (4899 S),"$152,408.58",152408.58
3,Street Resurfacing Menu (2024),ON W 17TH ST FROM S STATE ST (0 E) TO S CLARK ST (120 W),"$84,183.08",84183.08
3,Street Resurfacing Menu (2024),ON W 19TH ST FROM 12 W TO S CLARK ST (120 W),"$88,334.35",88334.35
3,Street Speed Hump Replacement (2024),ON S CALUMET AVE FROM E 35TH ST (3500 S) TO E 37TH ST (3700 S),$0.00,0.0
3,Street Traffic Circle Menu (2024),W 46TH ST & S PRINCETON AVE,"$35,000.00",35000.0
3,Viaduct Improvement Menu (2024),1178 S PLYMOUTH CT,$281.11,281.11
4,Alley Resurfacing Menu (2024),S ELLIS AVE & E 45TH ST&E 46TH ST & S GREENWOOD AVE,"$23,218.24",23218.24
4,Alley Speed Hump Replacement (2024),S ELLIS AVE & E 45TH ST&E 46TH ST & S GREENWOOD AVE,$0.00,0.0
4,Arterial Street Bump Outs Menu (2024),E 43RD ST & S BERKELEY AVE,"$54,641.69",54641.69
4,Concrete Alley Menu (2024),E 42ND PL & S ST LAWRENCE AVE&S VINCENNES AVE & E 43RD ST,"$548,000.00",548000.0
4,Concrete Alley Menu (2024),S CHAMPLAIN AVE & E 49TH ST&E 50TH PL & S ST LAWRENCE AVE,"$7,685.70",7685.7
4,Concrete Alley Menu (2024),S ELLIS AVE & E 45TH ST&E 46TH ST & S GREENWOOD AVE,"$266,000.00",266000.0
4,Curb & Gutter Menu (2024),4830-4832 S DORCHESTER AVE,"$11,331.57",11331.57
4,Miscellaneous CDOT Projects (2024),400 E PERSHING RD,$660.00,660.0
4,Miscellaneous CDOT Projects (2024),4210-4212 S CHAMPLAIN AVE,$600.00,600.0
4,Miscellaneous CDOT Projects (2024),4620 S LANGLEY AVE,$150.00,150.0
4,Pavement Markings Menu (2024),E PERSHING RD & S RHODES AVE,"$3,500.00",3500.0
4,Pavement Markings Menu (2024),ON E 43RD ST FROM S DREXEL BLVD (900 E) TO S GREENWOOD AVE (1100 E),"$3,750.00",3750.0
