ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
3,Curb & Gutter Menu (2023),529 E 44TH ST,86582.13,0.057721,41.814682815138,-87.612871903746,836000,2,170318360002
3,Miscellaneous CDOT Projects (2023),3950 S MICHIGAN AVE,15678.37,0.010452,41.822561259299,-87.623696796421,380600,3,170313806003
3,Miscellaneous CDOT Projects (2023),417 E 43RD ST,300.0,0.0002,41.816421850499,-87.615771706968,836000,1,170318360001
3,Miscellaneous CDOT Projects (2023),4236 S VINCENNES AVE,150.0,0.0001,41.817410118793,-87.614307556122,380200,1,170313802001
3,Miscellaneous CDOT Projects (2023),4257 S CALUMET AVE,300.0,0.0002,41.807817996799,-87.618023352217,835800,1,170318358001
3,Miscellaneous CDOT Projects (2023),4311 S VERNON AVE,150.0,0.0001,41.816212973472,-87.614956147789,836000,1,170318360001
3,Miscellaneous CDOT Projects (2023),4334 S DR MARTIN LUTHER KING JR DR W,150.0,0.0001,41.815583324905,-87.617299811736,835800,1,170318358001
3,Miscellaneous CDOT Projects (2023),437 E 42ND PL,150.0,0.0001,41.818268048492,-87.615090677335,380200,1,170313802001
3,Miscellaneous CDOT Projects (2023),4423 S WELLS ST,150.0,0.0001,41.813871237363,-87.631952468134,835500,2,170318355002
3,Miscellaneous CDOT Projects (2023),444 E 43RD ST,150.0,0.0001,41.816946096633,-87.614760262712,380200,1,170313802001
3,Miscellaneous CDOT Projects (2023),4451 S VINCENNES AVE,300.0,0.0002,41.813288527454,-87.613631220355,836000,2,170318360002
3,Miscellaneous CDOT Projects (2023),4702 S DR MARTIN LUTHER KING JR DR W,300.0,0.0002,41.80902800607,-87.617123959408,835800,1,170318358001
3,Miscellaneous CDOT Projects (2023),4731 S MICHIGAN AVE,15828.37,0.010552,41.808360806577,-87.622562054369,381400,1,170313814001
3,Miscellaneous CDOT Projects (2023),4909 S WABASH AVE,150.0,0.0001,41.805211935102,-87.62400072423,381800,1,170313818001
3,Miscellaneous CDOT Projects (2023),4933-4937 S MICHIGAN AVE,150.0,0.0001,41.804532959035,-87.622234657231,381800,1,170313818001
3,Miscellaneous CDOT Projects (2023),5403-5405 S WABASH AVE,150.0,0.0001,41.796366303133,-87.623649941582,400300,1,170314003001
3,Miscellaneous CDOT Projects (2023),S STATE ST & E 14TH PL,12679.54,0.008453,41.862433008786,-87.627375026991,330200,2,170313302002
3,Sidewalk Menu (2023),1932 S WABASH AVE,24909.09,0.016606,41.855695467375,-87.625897129823,330103,1,170313301031
3,Sidewalk Menu (2023),300 E 38TH ST,12036.37,0.008024,41.825719979511,-87.619123965324,839600,2,170318396002
