ward,menu_package,address,cost,cost_numeric,cost_share
6,Street Speed Hump Menu (2025),8300-8400 S Vernon Ave,"$4,880.00",4880.0,0.003392
6,Street Speed Hump Menu (2025),8000-8100 S Wabash Ave,"$4,880.00",4880.0,0.003392
6,Street Speed Hump Menu (2025),430-800 W 81st St,"$4,880.00",4880.0,0.003392
6,Tuley Park baseball field improvement,501 E 90TH PL,"$50,000.00",50000.0,0.034754
6,Walking track at Cole Park,361 E 85TH ST,"$100,000.00",100000.0,0.069507
6,Walking track installation at Cole Park,361 E 85TH ST,"$100,000.00",100000.0,0.069507
7,Curb & Gutter Menu (2025),3000-3030 E 80th Pl,"$6,419.17",6419.17,0.004334
7,Sidewalk Menu (2025),2114 E 100TH ST,"$7,757.85",7757.85,0.005238
7,Sidewalk Menu (2025),2309 E 83RD ST,"$11,082.86",11082.86,0.007483
7,Sidewalk Menu (2025),7129 S CORNELL AVE,"$7,127.94",7127.94,0.004813
7,Sidewalk Menu (2025),7711 S OGLESBY AVE,"$5,037.51",5037.51,0.003401
7,Sidewalk Menu (2025),9020 S PAXTON AVE,"$11,111.20",11111.2,0.007502
7,Street Bump Outs Menu (2025),E 75TH ST & S EUCLID AVE,"$21,435.46",21435.46,0.014474
7,Street Bump Outs Menu (2025),S PAXTON AVE & E 73RD ST,"$10,544.43",10544.43,0.007120
7,Street Light Upgrade Menu (2025),3021 E 80TH PL,$500.00,500.0,0.000338
7,Street Light Upgrade Menu (2025),7700 S CRANDON AVE,$250.00,250.00,0.000169
7,,E 77TH ST & S LUELLA AVE & S CRANDON AVE & E 78TH ST,$250.00,250.00,0.000169
7,Street Light Upgrade Menu (2025),7720 S COLES AVE,$500.00,500.0,0.000338
7,Street Light Upgrade Menu (2025),8139 S SOUTH SHORE DR,$500.00,500.0,0.000338
7,Street Light Upgrade Menu (2025),E 77TH ST & S OGLESBY AVE & S CRANDON AVE & E 78TH ST,$250.00,250.00,0.000169
7,,7701 S CRANDON AVE,$250.00,250.00,0.000169
7,Street Resurfacing Menu (2025),1730-1820 E 72nd Pl,"$34,291.90",34291.9,0.023155
7,Street Resurfacing Menu (2025),2030-2130 E 74th St,"$74,014.33",74014.33,0.049976
7,Street Resurfacing Menu (2025),2130-2230 E 77th St,"$45,096.02",45096.02,0.030450
7,Street Resurfacing Menu (2025),3000-3030 E 80th Pl,"$24,415.31",24415.31,0.016486
7,Street Resurfacing Menu (2025),9899-10000 S Bensley Ave,"$64,311.31",64311.31,0.043424
7,Street Resurfacing Menu (2025),8700-8890 S Colfax Ave,"$106,437.24",106437.24,0.071868
7,Street Resurfacing Menu (2025),10100-10200 S Crandon Ave,"$59,311.68",59311.68,0.040048
7,Street Resurfacing Menu (2025),10300-10400 S Crandon Ave,"$65,184.41",65184.41,0.044014
7,Street Resurfacing Menu (2025),8000-8100 S Crandon Ave,"$46,940.44",46940.44,0.031695
7,Street Resurfacing Menu (2025),8300-8400 S Crandon Ave,"$59,157.76",59157.76,0.039944
7,Street Resurfacing Menu (2025),8900-9100 S Crandon Ave,"$122,875.55",122875.55,0.082968
7,Street Resurfacing Menu (2025),9300-9400 S Essex Ave,"$63,402.52",63402.52,0.042811
7,Street Resurfacing Menu (2025),8100-8200 S Houston Ave,"$56,513.06",56513.06,0.038159
