ward,menu_package,address,cost,cost_numeric
3,Street Speed Hump Menu (2025),ON W ROOT ST FROM S STATE ST (0 E) TO S DEARBORN ST (30 W),"$2,440.00",2440.0
3,Street Speed Hump Menu (2025),ON W SWANN ST FROM S WENTWORTH AVE (232 W) TO S PRINCETON AVE (300 W),"$2,440.00",2440.0
3,Street Speed Hump Replacement (2025),ON E 46TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (340 E),$0.00,0.0
3,Street Speed Hump Replacement (2025),ON S CALUMET AVE FROM E 38TH ST (3800 S) TO E PERSHING RD (3900 S),$0.00,0.0
3,Street Speed Hump Replacement (2025),ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41ST ST (4100 S),$0.00,0.0
3,Street Speed Hump Replacement (2025),ON S EVANS AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4500 S),$0.00,0.0
3,Street Speed Hump Replacement (2025),ON S FORRESTVILLE AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S),$0.00,0.0
4,Alley Apron Menu (2025),4715 S LANGLEY AVE,"$14,526.92",14526.92
4,Alley Resurfacing Menu (2025),E 43RD ST & S COTTAGE GROVE AVE&S DREXEL BLVD & E 44TH ST,"$92,628.08",92628.08
4,Alley Speed Hump Replacement (2025),E 43RD ST & S COTTAGE GROVE AVE&S DREXEL BLVD & E 44TH ST,$0.00,0.0
4,Arterial Street Bump Outs Menu (2025),E PERSHING RD & S RHODES AVE,"$60,000.00",60000.0
4,Concrete Alley Menu (2025),S COTTAGE GROVE AVE & E 40TH ST&E 41ST ST & S LANGLEY AVE; 4030 S COTTAGE GROVE AVE,"$19,573.94",19573.94
4,Concrete Alley Menu (2025),S ELLIS AVE & E 45TH ST&E 46TH ST & S GREENWOOD AVE,"$10,795.00",10795.0
4,Curb & Gutter Menu (2025),4306 S ELLIS AVE,"$334,020.17",334020.17
4,Curb & Gutter Menu (2025),E 49TH ST & S BLACKSTONE AVE,"$113,791.93",113791.93
4,Curb & Gutter Menu (2025),E 50TH ST & S BLACKSTONE AVE,"$187,425.25",187425.25
4,Miscellaneous CDOT Projects (2025),4220 S BERKELEY AVE,$150.00,150.0
4,Miscellaneous CDOT Projects (2025),E OAKWOOD BLVD & S LSD OAKWOOD BL ER,$548.23,548.23
4,Miscellaneous CDOT Projects (2025),ON S DREXEL BLVD FROM E 43RD ST (4300 S) TO E HYDE PARK BLVD (5100 S),"$24,000.00",24000.0
4,Pavement Markings Menu (2025),3600 S DR MARTIN LUTHER KING JR DR,"$7,000.00",7000.0
4,Sidewalk Menu (2025),4832 S DORCHESTER AVE,"$30,000.00",30000.0
4,Street Bump Outs Menu (2025),5015 S BLACKSTONE AVE; S BLACKSTONE AVE & E 50TH ST; S BLACKSTONE AVE & E 49TH ST,"$40,794.57",40794.57
4,Street Light Pole Painting Menu (2025),ON S DR MARTIN LUTHER KING JR DR FROM E 32ND ST (3198 S) TO E 35TH ST (3500 S),"$21,167.59",21167.59
4,Street Resurfacing Menu (2025),ON E 53RD ST FROM S KIMBARK AVE (1300 E) TO S WOODLAWN AVE (1200 E),"$74,173.21",74173.21
4,Street Resurfacing Menu (2025),ON S KENWOOD AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST (5200 S),"$46,509.29",46509.29
4,Street Resurfacing Menu (2025),ON S ST LAWRENCE AVE FROM E 41ST ST (4100 S) TO E BOWEN AVE (4140 S),"$19,056.10",19056.1
4,Street Resurfacing Menu (2025),ON S WOODLAWN AVE FROM E 47TH ST (4700 S) TO E 53RD ST (5300 S),"$230,775.46",230775.46
4,Street Resurfacing Menu (2025),ON S WOODLAWN AVE FROM E 49TH ST (4900 S) TO E 50TH ST (5000 S),"$94,984.25",94984.25
4,Street Speed Hump Menu (2025),ON E 44TH ST FROM S EVANS AVE (720 E) TO S COTTAGE GROVE AVE (800 E),"$2,440.00",2440.0
